,Name,Id,Total Docks
1,Ruskin Ave & Bigelow Blvd,,6.0
2,CRASH BIKE 70625,,0.0
4,BIKE 70681,,0.0
6,Point State Park ,,0.0
11,BIKE 70804,,0.0
12,BIKE 70776,,0.0
13,BIKE 70691,,
15,1201 Beechwood Blvd,,0.0
19,BIKE 70235 - Arlington IN FRONT OF SCHOOL,,
64,Liberty Ave & Stanwix St,1000.0,16.0
65,Forbes Ave & Market Square,1001.0,19.0
66,Third Ave & Wood St,1002.0,15.0
67,First Ave & Smithfield St,1003.0,9.0
68,First Ave & B St (T Station),1004.0,
69,Forbes Ave & Grant St,1005.0,13.0
70,Ross St & Sixth Ave (Steel Plaza T Station),1006.0,7.0
71,Stevenson St & Forbes Ave,1007.0,15.0
72,Centre Ave & PPG Paints Arena,1008.0,5.0
73,12th St & Penn Ave,1009.0,19.0
74,10th St & Penn Ave,1010.0,15.0
75,Fort Duquesne Blvd & 7th St,1011.0,11.0
76,North Shore Trail & Fort Duquesne Bridge,1012.0,31.0
77,Isabella St & Federal St (PNC Park),1013.0,15.0
78,Ridge Ave & Brighton Rd (CCAC),1014.0,19.0
79,Federal St & E North Ave,1015.0,10.0
80,17th St & Penn Ave,1016.0,19.0
81,21st St & Penn Ave,1017.0,18.0
82,Butler St & Stanton Ave,1018.0,5.0
83,42nd St & Butler St,1019.0,17.0
84,42nd & Penn Ave.,1020.0,8.0
85,Taylor St & Liberty Ave,1021.0,19.0
86,Liberty Ave & S Millvale Ave (West Penn Hospital),1022.0,15.0
87,Liberty Ave & Baum Blvd,1023.0,15.0
88,S Negley Ave & Baum Blvd,1024.0,17.0
89,Penn Ave & N Fairmount St,1025.0,15.0
90,Penn Ave & S Whitfield St,1026.0,13.0
91,Shady Ave & Ellsworth Ave,1027.0,19.0
92,Penn Ave & Putnam St (Bakery Square),1028.0,8.0
93,Alder St & S Highland Ave,1029.0,19.0
94,S Euclid Ave & Centre Ave,1030.0,12.0
95,Maryland Ave & Ellsworth Ave,1031.0,19.0
96,Walnut St & College St,1032.0,14.0
97,Ivy St & Walnut St   ,1033.0,19.0
98,Ellsworth Ave & N Neville St,1034.0,15.0
99,Fifth Ave & S Dithridge St,1035.0,8.0
100,Schenley Dr at Schenley Plaza (Carnegie Library Main),1036.0,18.0
101,Frew St & Schenley Dr,1037.0,20.0
102,Boulevard of the Allies & Parkview Ave,1038.0,19.0
103,Atwood St & Bates St,1039.0,8.0
104,O'Hara St and University Place (Soldiers and Sailors Memorial),1040.0,21.0
105,Fifth Ave & S Bouquet St,1041.0,19.0
106,Centre Ave & Addison St,1042.0,12.0
107,S Millvale Ave & Centre Ave,1043.0,13.0
108,Zulema St & Coltart Ave,1044.0,19.0
109,S 27th St & Sidney St. (Southside Works),1045.0,19.0
110,S 25th St & E Carson St,1046.0,19.0
111,S 22nd St & E Carson St,1047.0,19.0
112,S 18th St & Sidney St,1048.0,16.0
113,S 12th St & E Carson St,1049.0,19.0
114,Healthy Ride Hub,1050.0,2.0
116,McAnulty Dr & Forbes Ave,1052.0,6.0
117,Hamilton Ave & Zodiac Way,1053.0,5.0
118,Smithfield St & Fourth Ave,1054.0,6.0
119,Wood St & Sixth Ave,1056.0,7.0
120,Burns White Center at 3 Crossings,1059.0,12.0
121,Penn Ave & 29th St,1060.0,8.0
122,33rd St & Penn Ave ,1061.0,6.0
123,S Winebiddle St & Penn Ave,1062.0,5.0
124,Penn Ave & N Atlantic Ave,1063.0,5.0
125,Frankstown Ave & E Liberty Blvd,1064.0,6.0
126,N Homewood Ave & Finance St (Homewood Station),1066.0,8.0
127,Hamilton Ave & N Lang Ave,1067.0,5.0
128,Forbes Ave & Murray Ave,1068.0,5.0
129,Beacon St & Murray Ave,1069.0,6.0
130,Hobart St & Wightman St,1070.0,5.0
131,Glasshouse,1072.0,10.0
132,South Side Trail & S 4th St,1074.0,5.0
133,Hot Metal St & Tunnel Blvd,1084.0,10.0
134,Eliza Furnace Trail at Swinburne St,1085.0,8.0
135,Technology Dr & Bates St ,1086.0,8.0
136,Frazier St & Dawson St,1088.0,5.0
137,Semple St & Louisa St,1091.0,5.0
138,S Bouquet Ave & Sennott St,1093.0,6.0
139,O'Hara St & Desoto St,1094.0,5.0
140,Schenley Dr & Forbes Ave (Schenley Plaza),1095.0,7.0
141,Tennyson Ave & Fifth Ave,1097.0,6.0
142,S Bellefield Ave & Filmore St,1098.0,5.0
143,Forbes Ave & S Craig St,1099.0,5.0
144,Lytle St & Eliza St,49201.0,10.0
145,Schenley Dr & Forbes Ave,49251.0,6.0
146,Wightman St & Forbes Ave,49261.0,5.0
147,S Craig St & 5th Ave,49271.0,6.0
148,Centre Ave & N Craig St,49301.0,6.0
149,Hamilton Ave & N Dallas Ave,49311.0,6.0
150,Bennett St & Eccrue Way,49321.0,7.0
151,Frankstown Ave & Eastview St,49341.0,6.0
152,Penn Ave at The Village at Eastside,49351.0,5.0
153,E Liberty Blvd & Larimer Ave,49371.0,6.0
154,E Liberty Blvd & Negley Ave,49391.0,5.0
155,Stanton Ave & N Negley Ave,49401.0,6.0
156,Penn Ave & Negley Ave,49431.0,6.0
157,Roup Ave & Friendship Ave,49441.0,5.0
158,Friendship Ave & S Pacific Ave,49461.0,6.0
159,Liberty Ave & Fisk St,49491.0,5.0
160,Penn Ave & 39th St,49501.0,6.0
161,Butler St & 48th St,49561.0,6.0
162,Liberty Ave & 37th St,49581.0,6.0
163,Smallman St & 31st St,49601.0,6.0
164,24th St & Smallman St,49611.0,6.0
165,14th St & Penn Ave,49621.0,6.0
166,11th St & Penn Ave,49641.0,6.0
167,Grant St & Strawberry Way,49651.0,7.0
168,Seventh Ave & Liberty Ave,49661.0,6.0
169,9th St & Penn Ave,49671.0,5.0
170,Liberty Ave & 6th St,49691.0,10.0
171,Third Ave & Stanwix St,49701.0,5.0
172,First Ave & Stanwix St,49711.0,7.0
173,Ross St & Fourth Ave,49731.0,7.0
174,Washington Pl & Centre Ave,49741.0,5.0
175,Forbes Ave & Jumonville St,49771.0,5.0
176,Fifth Ave & Miltenberger St,49781.0,6.0
177,Microsoft,49801.0,6.0
178,Arch St & Jacksonia St,49881.0,5.0
179,W General Robinson St & Chuck Noll Way,49921.0,5.0
180,Allegheny Station,49941.0,8.0
181,Butler St & 36th St,49951.0,6.0
